iter	Passed	Remaining
0	137	137193
1	142	71061
2	145	48336
3	148	36911
4	149	29848
5	152	25205
6	155	22111
7	157	19579
8	159	17525
9	160	15883
10	161	14532
11	163	13449
12	168	12772
13	170	12017
14	173	11383
15	175	10810
16	177	10243
17	179	9773
18	180	9342
19	193	9466
20	194	9080
21	195	8708
22	197	8373
23	202	8223
24	204	7990
25	209	7844
26	210	7589
27	211	7347
28	212	7130
29	215	6977
30	218	6819
31	221	6710
32	223	6543
33	224	6390
34	226	6237
35	227	6093
36	230	5992
37	232	5873
38	234	5778
39	236	5681
40	238	5570
41	239	5464
42	240	5354
43	242	5265
44	244	5196
45	246	5114
46	248	5044
47	250	4966
48	252	4904
49	254	4832
50	255	4758
51	257	4687
52	260	4655
53	262	4596
54	263	4527
55	264	4458
56	265	4397
57	267	4350
58	269	4303
59	272	4272
60	276	4258
61	278	4207
62	279	4153
63	280	4100
64	281	4048
65	282	3997
66	284	3956
67	286	3922
68	290	3919
69	292	3880
70	293	3837
71	294	3795
72	295	3754
73	296	3712
74	298	3678
75	301	3663
76	304	3646
77	307	3633
78	308	3601
79	310	3567
80	311	3532
81	312	3503
82	314	3473
83	316	3452
84	319	3434
85	320	3405
86	321	3378
87	323	3350
88	324	3321
89	328	3323
90	330	3304
91	333	3291
92	335	3275
93	337	3252
94	339	3234
95	342	3226
96	346	3224
97	348	3207
98	350	3192
99	353	3181
100	357	3185
101	360	3172
102	362	3160
103	364	3138
104	365	3114
105	368	3104
106	371	3097
107	372	3076
108	373	3056
109	375	3035
110	376	3014
111	377	2992
112	378	2972
113	383	2979
114	386	2973
115	388	2957
116	389	2937
117	390	2921
118	392	2904
119	393	2884
120	395	2874
121	397	2861
122	401	2860
123	402	2843
124	403	2827
125	405	2809
126	406	2791
127	407	2773
128	410	2768
129	411	2755
130	413	2745
131	414	2728
132	416	2716
133	418	2706
134	420	2697
135	430	2736
136	433	2733
137	435	2720
138	437	2707
139	439	2698
140	441	2687
141	442	2672
142	444	2664
143	445	2649
144	447	2641
145	449	2630
146	450	2616
147	452	2604
148	455	2599
149	456	2589
150	458	2580
151	461	2575
152	463	2564
153	464	2551
154	465	2540
155	468	2536
156	471	2534
157	474	2526
158	475	2515
159	477	2505
160	478	2493
161	479	2481
162	481	2473
163	483	2465
164	487	2465
165	489	2457
166	490	2448
167	492	2438
168	493	2427
169	495	2418
170	497	2413
171	499	2404
172	502	2399
173	503	2390
174	504	2380
175	506	2371
176	507	2361
177	508	2349
178	510	2342
179	513	2339
180	517	2342
181	519	2333
182	520	2323
183	521	2313
184	522	2303
185	524	2293
186	526	2288
187	530	2292
188	532	2284
189	533	2276
190	535	2267
191	536	2257
192	537	2247
193	540	2244
194	543	2245
195	545	2237
196	546	2227
197	547	2218
198	548	2209
199	550	2200
200	551	2192
201	554	2189
202	556	2186
203	559	2181
204	561	2176
205	562	2167
206	563	2158
207	564	2151
208	565	2142
209	567	2135
210	570	2132
211	573	2130
212	574	2123
213	576	2116
214	577	2109
215	578	2101
216	580	2094
217	583	2091
218	584	2084
219	586	2078
220	587	2070
221	589	2066
222	591	2060
223	592	2052
224	593	2045
225	595	2040
226	597	2036
227	599	2030
228	602	2029
229	604	2022
230	605	2015
231	607	2011
232	610	2010
233	613	2007
234	614	2001
235	616	1994
236	617	1987
237	618	1979
238	619	1973
239	621	1967
240	622	1961
241	623	1953
242	625	1949
243	627	1943
244	628	1936
245	630	1931
246	630	1923
247	631	1916
248	632	1908
249	633	1901
250	634	1894
251	635	1887
252	636	1880
253	637	1873
254	640	1871
255	642	1866
256	643	1859
257	644	1853
258	645	1847
259	646	1840
260	647	1834
261	649	1828
262	650	1821
263	651	1815
264	652	1810
265	654	1806
266	655	1800
267	656	1794
268	657	1787
269	658	1781
270	659	1775
271	660	1768
272	661	1762
273	662	1755
274	663	1749
275	664	1743
276	665	1737
277	666	1731
278	668	1727
279	669	1722
280	670	1716
281	671	1710
282	672	1704
283	673	1698
284	674	1692
285	675	1686
286	676	1681
287	677	1675
288	679	1670
289	680	1665
290	681	1659
291	683	1656
292	684	1652
293	685	1646
294	686	1640
295	687	1635
296	688	1630
297	689	1624
298	690	1619
299	692	1614
300	693	1609
301	694	1604
302	695	1600
303	697	1595
304	698	1592
305	699	1587
306	700	1582
307	702	1577
308	703	1573
309	704	1568
310	705	1563
311	706	1558
312	708	1554
313	709	1549
314	710	1545
315	712	1542
316	714	1539
317	715	1535
318	717	1531
319	718	1526
320	719	1521
321	720	1517
322	721	1512
323	722	1507
324	723	1502
325	724	1498
326	725	1493
327	726	1488
328	728	1485
329	729	1480
330	730	1476
331	731	1471
332	732	1466
333	733	1462
334	734	1458
335	735	1454
336	736	1449
337	737	1445
338	738	1440
339	739	1436
340	741	1432
341	743	1430
342	744	1425
343	745	1420
344	745	1416
345	746	1411
346	747	1406
347	747	1401
348	748	1396
349	749	1391
350	750	1386
351	750	1382
352	751	1377
353	752	1372
354	752	1367
355	753	1363
356	754	1358
357	754	1353
358	755	1349
359	757	1345
360	758	1342
361	759	1337
362	760	1333
363	760	1329
364	761	1325
365	762	1320
366	763	1316
367	764	1312
368	765	1308
369	765	1304
370	766	1300
371	767	1295
372	768	1291
373	769	1287
374	770	1284
375	772	1282
376	773	1278
377	774	1275
378	775	1270
379	776	1266
380	777	1262
381	777	1258
382	778	1254
383	779	1249
384	779	1245
385	780	1241
386	781	1237
387	781	1233
388	782	1228
389	783	1225
390	783	1221
391	785	1218
392	787	1215
393	787	1211
394	788	1208
395	789	1204
396	790	1200
397	791	1196
398	791	1192
399	793	1189
400	793	1185
401	794	1182
402	795	1178
403	796	1174
404	797	1171
405	798	1167
406	798	1163
407	800	1162
408	802	1159
409	802	1155
410	803	1152
411	805	1148
412	805	1145
413	806	1142
414	807	1138
415	808	1134
416	809	1131
417	810	1127
418	810	1124
419	811	1120
420	812	1117
421	813	1113
422	814	1110
423	815	1108
424	816	1104
425	817	1101
426	818	1098
427	819	1095
428	820	1091
429	821	1088
430	821	1084
431	822	1081
432	823	1078
433	824	1075
434	825	1071
435	825	1068
436	826	1065
437	827	1061
438	828	1058
439	829	1055
440	830	1053
441	831	1049
442	832	1046
443	833	1043
444	833	1039
445	834	1036
446	835	1033
447	836	1030
448	837	1027
449	837	1023
450	838	1020
451	839	1017
452	840	1014
453	841	1012
454	844	1011
455	845	1008
456	846	1005
457	847	1003
458	848	1000
459	849	997
460	850	994
461	851	992
462	852	989
463	853	986
464	854	983
465	856	981
466	858	979
467	859	977
468	860	974
469	861	971
470	861	968
471	862	965
472	863	962
473	864	959
474	865	956
475	865	953
476	866	950
477	867	947
478	868	944
479	869	941
480	869	938
481	871	936
482	872	934
483	873	931
484	874	928
485	875	925
486	876	922
487	876	919
488	877	917
489	878	914
490	879	911
491	880	908
492	880	905
493	881	903
494	882	900
495	883	897
496	884	894
497	884	891
498	885	889
499	888	888
500	889	885
501	889	882
502	890	880
503	891	877
504	892	874
505	893	872
506	893	869
507	895	866
508	896	864
509	897	861
510	897	859
511	898	856
512	899	853
513	900	851
514	901	848
515	902	846
516	904	844
517	905	842
518	906	840
519	907	837
520	908	835
521	909	832
522	909	829
523	910	827
524	911	824
525	912	822
526	913	819
527	913	817
528	914	814
529	916	812
530	917	810
531	918	808
532	919	805
533	920	802
534	920	800
535	921	797
536	921	794
537	922	791
538	922	789
539	923	787
540	924	784
541	925	782
542	926	779
543	926	776
544	927	774
545	928	771
546	928	769
547	929	766
548	930	764
549	932	762
550	932	760
551	933	757
552	934	755
553	935	752
554	935	750
555	936	747
556	937	745
557	938	743
558	938	740
559	939	738
560	940	735
561	940	733
562	941	730
563	942	728
564	943	726
565	944	723
566	945	721
567	946	719
568	947	717
569	948	715
570	948	712
571	949	710
572	950	708
573	951	706
574	952	703
575	952	701
576	953	699
577	954	696
578	955	694
579	955	692
580	956	689
581	957	687
582	958	685
583	959	683
584	960	681
585	961	679
586	962	677
587	963	674
588	964	672
589	964	670
590	965	668
591	966	666
592	967	663
593	968	661
594	968	659
595	969	657
596	970	655
597	971	652
598	971	650
599	972	648
600	973	646
601	974	644
602	976	642
603	976	640
604	977	638
605	978	636
606	979	633
607	979	631
608	980	629
609	981	627
610	982	625
611	982	623
612	983	621
613	984	618
614	985	616
615	986	614
616	987	612
617	987	610
618	988	608
619	989	606
620	990	604
621	991	602
622	992	600
623	993	598
624	994	596
625	995	594
626	996	592
627	997	590
628	997	588
629	998	586
630	999	584
631	1000	582
632	1000	580
633	1001	578
634	1002	576
635	1003	574
636	1004	572
637	1005	570
638	1006	568
639	1007	566
640	1008	564
641	1009	562
642	1009	560
643	1010	558
644	1011	556
645	1011	554
646	1012	552
647	1013	550
648	1014	548
649	1014	546
650	1015	544
651	1016	542
652	1017	540
653	1017	538
654	1018	536
655	1019	534
656	1020	532
657	1022	531
658	1023	529
